sample_index,true_label,tf_prediction,json_prediction,tf_correct,json_correct,models_agree,tf_probability,json_probability
0,7,7,7,True,True,True,17.10283,17.130283690000226
1,2,2,2,True,True,True,32.073822,32.002393280930185
2,1,1,1,True,True,True,5.864254,5.901093740978047
3,0,0,0,True,True,True,19.551765,19.232044501246516
4,4,4,4,True,True,True,22.558413,22.48390849727541
5,1,1,1,True,True,True,14.919859,15.075801341174271
6,4,4,4,True,True,True,19.302763,19.431792111513985
7,9,9,9,True,True,True,9.585509,9.544651778073755
8,5,5,5,True,True,True,16.162773,16.274177769032992
9,9,9,9,True,True,True,21.011585,20.930045638141042
10,0,0,0,True,True,True,27.526741,27.332262180260475
11,6,6,6,True,True,True,20.606443,20.328031907995328
12,9,9,9,True,True,True,13.019682,12.953644123244336
13,0,0,0,True,True,True,26.79893,26.576989437921885
14,1,1,1,True,True,True,15.894262,16.063530867139573
15,5,5,5,True,True,True,7.4636116,7.24675594354556
16,9,9,9,True,True,True,13.528818,13.518148394752023
17,7,7,7,True,True,True,24.152578,24.2074342953676
18,3,3,3,True,True,True,3.7678123,3.7983575291113274
19,4,4,4,True,True,True,22.35682,22.472979065015938
20,9,9,9,True,True,True,12.201897,12.109371609200233
21,6,6,6,True,True,True,13.154842,13.039486137726762
22,6,6,6,True,True,True,16.055847,15.731609437983376
23,5,5,5,True,True,True,27.579361,27.781199757691475
24,4,4,4,True,True,True,16.947561,17.236878877688888
25,0,0,0,True,True,True,23.872166,23.720328035943375
26,7,7,7,True,True,True,11.408961,11.371456457511464
27,4,4,4,True,True,True,25.807917,25.779221956939512
28,0,0,0,True,True,True,35.86031,35.72033170444741
29,1,1,1,True,True,True,14.687349,14.745727341713975
30,3,3,3,True,True,True,20.783587,20.67342276471116
31,1,1,1,True,True,True,7.1483717,7.15294164167174
32,3,3,3,True,True,True,21.719496,21.689165072699247
33,4,4,4,True,True,True,1.6491063,1.6996729304366025
34,7,7,7,True,True,True,23.879175,23.649860440551276
35,2,2,2,True,True,True,35.18684,35.2368765920166
36,7,7,7,True,True,True,20.188251,20.207562172447098
37,1,1,1,True,True,True,14.583078,14.718279598001741
38,2,2,2,True,True,True,10.297518,10.103089958845562
39,1,1,1,True,True,True,15.623777,15.774770604685777
40,1,1,1,True,True,True,5.553028,5.559723206587735
41,7,7,7,True,True,True,23.78873,23.70635428347487
42,4,4,4,True,True,True,22.674864,22.750456739956604
43,2,2,2,True,True,True,6.160816,6.030300329161231
44,3,3,3,True,True,True,7.965613,7.921923835366057
45,5,5,5,True,True,True,16.550089,16.687365831454617
46,1,1,1,True,True,True,17.641748,17.7763983290559
47,2,2,2,True,True,True,28.527115,28.353302420474115
48,4,4,4,True,True,True,17.64237,17.7027797243559
49,4,4,4,True,True,True,13.401734,13.385429149547027
50,6,6,6,True,True,True,15.839031,15.819365969498607
51,3,3,3,True,True,True,11.991931,11.990172905977605
52,5,5,5,True,True,True,12.36245,12.681329558046471
53,5,5,5,True,True,True,15.934926,15.832200422422838
54,6,6,6,True,True,True,11.05145,10.700653471620399
55,0,0,0,True,True,True,20.30425,20.160476648533923
56,4,4,4,True,True,True,31.366062,31.253006819211766
57,1,1,1,True,True,True,12.985865,13.147229065740207
58,9,9,9,True,True,True,15.073785,15.02042465292329
59,5,5,5,True,True,True,8.347015,8.480924161636773
60,7,7,7,True,True,True,18.69493,18.63268074846276
61,8,8,8,True,True,True,11.642296,11.724382808723355
62,9,9,9,True,True,True,6.6295133,6.605564345022604
63,3,3,3,True,True,True,15.396496,15.463400763614962
64,7,7,7,True,True,True,34.387924,34.40377025684763
65,4,3,3,False,False,True,1.2712673,1.191763248635367
66,6,6,6,True,True,True,-0.70884013,-1.1968405633098376
67,4,4,4,True,True,True,26.952387,26.740175538414043
68,3,3,3,True,True,True,25.133509,25.10930813590462
69,0,0,0,True,True,True,25.667215,25.7276412270289
70,7,7,7,True,True,True,13.494232,13.57824310669924
71,0,0,0,True,True,True,42.62635,42.481240229047756
72,2,2,2,True,True,True,24.405956,24.290167774562764
